                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94693,                    3.4,                 1.2882,                0.00333,                      1,                0.50329,                0.40902,                0.63074,                 3.1154,                0.97632,             0.00020004,             0.00020004,             0.00020004
                      2,                0.68243,                 1.9799,                 1.0304,                0.50113,                0.84363,                0.71709,                0.59698,                0.66898,                 2.7991,                0.99147,              0.0004085,              0.0004085,              0.0004085
                      3,                0.72471,                 1.6585,                 1.0416,                0.82258,                0.54996,                0.67076,                0.51526,                0.91431,                 2.8413,                 1.1401,             0.00060837,             0.00060837,             0.00060837
                      4,                0.74794,                 1.4241,                 1.0283,                0.80934,                0.34114,                0.65573,                0.46808,                0.93719,                 2.7132,                 1.0747,             0.00079967,             0.00079967,             0.00079967
                      5,                0.72598,                 1.3512,                  1.022,                0.88747,                  0.875,                0.94079,                0.77618,                0.78831,                 1.7931,                 1.0622,             0.00098238,             0.00098238,             0.00098238
                      6,                0.72168,                 1.3324,                0.98857,                0.86662,                0.82326,                0.90894,                0.74439,                0.71458,                 1.7164,                 1.0151,              0.0011565,              0.0011565,              0.0011565
                      7,                 0.7261,                 1.2583,                 1.0174,                0.95013,                0.79216,                0.91958,                0.75774,                0.70704,                 1.4843,                 1.0355,              0.0013221,              0.0013221,              0.0013221
                      8,                0.75725,                 1.2267,                 1.0246,                0.46126,                    0.6,                0.52247,                 0.3938,                 1.0083,                  2.677,                 1.2331,               0.001436,               0.001436,               0.001436
                      9,                0.70513,                 1.2256,                 1.0182,                0.88512,                  0.925,                0.94353,                0.71809,                0.81862,                 2.9167,                 1.2116,               0.001436,               0.001436,               0.001436
                     10,                0.71134,                 1.1037,                 1.0036,                0.92331,                    0.9,                0.93514,                0.73993,                0.70078,                 1.9893,                 1.0209,              0.0014029,              0.0014029,              0.0014029
                     11,                0.71019,                 1.1154,                 1.0057,                0.83119,                  0.825,                 0.8711,                0.68055,                0.76386,                 1.6555,                 1.0435,              0.0013699,              0.0013699,              0.0013699
                     12,                0.71337,                 1.0384,                0.99829,                0.81123,                  0.725,                0.76589,                0.63378,                0.70674,                 1.7754,                0.96726,              0.0013369,              0.0013369,              0.0013369
