                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.56311,                0.55141,                0.94185,                0.94207,                0.97241,                  0.968,                0.84662,                 0.5958,                0.60806,                0.95352,              0.0011059,              0.0011059,              0.0011059
                     37,                0.58041,                0.56389,                0.94517,                0.96577,                0.97374,                 0.9839,                 0.8766,                0.57568,                0.51502,                0.95856,              0.0010894,              0.0010894,              0.0010894
                     38,                0.54538,                0.51879,                0.92164,                0.97226,                0.95184,                0.97087,                0.86132,                 0.5599,                0.57449,                0.93824,              0.0010729,              0.0010729,              0.0010729
                     39,                0.57505,                0.56252,                0.96257,                0.97111,                0.95182,                0.96858,                0.85365,                0.60119,                0.59299,                0.93998,              0.0010564,              0.0010564,              0.0010564
                     40,                0.58289,                0.57341,                0.96348,                0.99193,                  0.975,                 0.9798,                0.87805,                0.53306,                0.46182,                0.90393,              0.0010399,              0.0010399,              0.0010399
                     41,                0.57763,                0.56093,                0.94691,                0.98301,                  0.975,                0.98923,                0.87869,                0.53332,                0.47273,                0.90295,              0.0010234,              0.0010234,              0.0010234
                     42,                0.55589,                 0.5194,                0.94096,                0.95958,                0.97499,                0.99174,                 0.8757,                0.53684,                 0.4601,                0.91424,              0.0010069,              0.0010069,              0.0010069
                     43,                 0.5462,                0.52719,                0.93232,                0.99263,                  0.975,                0.99273,                0.87391,                0.59409,                0.45977,                0.94027,             0.00099036,             0.00099036,             0.00099036
                     44,                 0.5285,                0.51541,                0.92275,                0.95423,                0.95807,                0.99083,                0.86594,                 0.6263,                0.58523,                 0.9485,             0.00097386,             0.00097386,             0.00097386
                     45,                0.53886,                 0.5038,                0.92667,                0.97022,                  0.975,                0.97833,                0.85904,                0.61403,                0.49273,                0.95559,             0.00095736,             0.00095736,             0.00095736
                     46,                0.52578,                0.50883,                0.92737,                0.99432,                  0.975,                0.99174,                 0.8855,                0.53564,                0.40538,                0.91138,             0.00094085,             0.00094085,             0.00094085
